stop_name,entity_type,platform_stop_count,graph_degree,Degree,Closeness,Betweenness,route_count,routes_serving,member_stop_ids
Golden Mile Station,station,7,10,0.001371553970648745,0.043472837334382244,0.030101645754878677,5,"334,34,5,68,968","16085,16086,2318,2319,8557,8558,8559"
College Station,station,6,9,0.0012343985735838703,0.04767896754108153,0.029478749756529855,4,"1,306,320,506","760,848,3218,13807,16094,3209"
Old Cummer GO Station,station,7,8,0.001097243176518996,0.0434660878612376,0.029051465176031084,4,"151,339,39,939","5471,9162,2519,5442,5443,5448,5463"
St Patrick Station,station,5,6,0.000822932382389247,0.04644325515759237,0.02871554450070683,3,"1,305,505","2193,2194,13821,2153,16064"
Milvan Rumike Station,station,4,5,0.0006857769853243725,0.03905443654446694,0.028074114043095868,3,"166,336,6","16307,16308,2620,2627"
Steeles Ave East at Milliken GO Station,station,2,7,0.0009600877794541215,0.033364677824556155,0.027030545328064908,6,"343,353,43,53,57,953","10479,10478"
Westmore Station,station,4,6,0.000822932382389247,0.036481302969494325,0.025753851359946418,2,"6,927","16291,16292,2640,16516"
TMU Station,station,7,10,0.001371553970648745,0.045729861268764334,0.025735182380727528,4,"1,305,320,505","3221,2197,3222,2136,13810,3237,16260"
McCowan Rt Station,station,6,10,0.001371553970648745,0.03981863054197006,0.025519935835134934,10,"129,130,131,132,134,16,169,316,406,9","9609,9610,9623,16645,16646,16709"
Osgoode Station,station,4,5,0.0006857769853243725,0.044594094993471056,0.02539546418075636,3,"1,301,501","6859,6858,13820,15340"
Birchmount Station,station,5,6,0.000822932382389247,0.042847921695280754,0.025264991845956944,4,"17,334,34,5","16228,16229,404,2249,2250"
Rowntree Mills Station,station,6,7,0.0009600877794541215,0.03652377098067836,0.025094630095132513,4,"336,337,6,937","16301,16302,3791,12521,16512,16518"
Queen Station,station,6,6,0.000822932382389247,0.04473551389937002,0.024456880086614244,3,"1,301,320","10892,3238,3239,13811,3240,3241"
Pioneer Village Station,station,12,14,0.001920175558908243,0.04476357504209024,0.023621513134599023,12,"1,106,108,166,335,341,35,353,41,60,935,960","15656,15571,15574,15575,15577,15578,15579,15580,15581,1601,1602,7766"
Duncanwoods Station,station,4,2,0.000274310794129749,0.0380494131727214,0.023209536633793996,2,"336,6","16305,16306,2583,2596"
Pearldale Station,station,4,2,0.000274310794129749,0.03725276971055705,0.02304547084871902,2,"336,6","16303,16304,2584,2624"
Union Station,station,9,8,0.001097243176518996,0.042079308010580775,0.022283553446105546,9,"1,114,121,19,202,309,310,320,509","246,247,10935,13815,16754,1069,1671,12425,13455"
Albion Station,station,6,6,0.000822932382389247,0.03542025915599839,0.021971748204705786,3,"336,6,73","16295,16296,2578,3270,11045,12452"
King Station,station,10,10,0.001371553970648745,0.042988872968198616,0.021769530322883025,7,"1,19,304,320,501,503,504","3234,9016,13814,15637,15638,16578,256,3225,3247,15640"
Mount Olive Station,station,7,7,0.0009600877794541215,0.035855577524121066,0.021246623767217362,4,"336,45,6,945","16299,16300,4309,11029,11035,11043,11044"
Ionview Station,station,6,3,0.0004114661911946235,0.04293385005069184,0.019486026354571993,3,"334,34,5","16230,16231,2275,2306,2307,16626"
St Andrew Station,station,4,6,0.000822932382389247,0.04285927481140103,0.018303604094700977,4,"1,304,501,503","13817,15642,15824,16716"
Pharmacy Station,station,6,7,0.0009600877794541215,0.04474211335559042,0.01794056006717714,5,"334,34,5,67,70","16224,16225,2300,6000,6697,15961"
Stevenson Station,station,4,2,0.000274310794129749,0.03556042159317954,0.016884597226691684,2,"336,6","16297,16298,11040,11041"
Agincourt GO Station,station,2,6,0.000822932382389247,0.041287840189645396,0.01647059654120576,4,"385,85,904,985","10480,15018"
Danforth GO Station,station,5,9,0.0012343985735838703,0.04340517795332288,0.016152848543540484,6,"135,300,306,506,64,87","1262,11826,1263,5532,15923"
Queens Quay/Ferry Docks Station,station,5,7,0.0009600877794541215,0.04046994327648027,0.016105901557251494,6,"114,202,309,310,320,509","10945,10946,254,262,1465"
Renforth Station,station,3,5,0.0006857769853243725,0.028975315617737443,0.014121689939671188,3,"112,32,334","15594,15599,11393"
Bloor GO Station,station,4,8,0.001097243176518996,0.044432944314456685,0.01411918482344127,7,"168,300,304,305,402,504,505","506,507,2150,9856"
Eglinton Ave East at Kennedy Station,station,4,5,0.0006857769853243725,0.042160468795796664,0.012133600748799338,5,"113,334,34,343,43","3539,2280,2752,2753"
Aberfoyle Cres at Islington Ave (Islington Station,station,1,4,0.000548621588259498,0.037633155504054876,0.010491024839079734,3,"37,50,937",16670
Hakimi Lebovic Station,station,4,2,0.000274310794129749,0.04374007714205026,0.009807534093998942,3,"334,34,5","16226,16227,2232,2271"
Eglinton GO Station,station,4,10,0.001371553970648745,0.040526272952777616,0.008751142213894487,6,"116,334,386,86,9,905","352,2244,353,15901"
Mimico GO Station,station,5,4,0.000548621588259498,0.027365606120486385,0.006396361504537034,2,"76,80","6978,7014,15715,6977,7015"
Centennial GO Station,station,1,2,0.000274310794129749,0.018532628600657117,0.004922016150471323,1,129,9999
Rouge Hill GO Station,station,4,7,0.0009600877794541215,0.024467490218705715,0.004864406483238844,7,"200,354,38,385,395,54,954","13068,5519,6530,16037"
Midland Ave at Midland Station,station,2,4,0.000548621588259498,0.02670841627379243,0.00436551919148956,1,57,"9618,5692"
Long Branch GO Station,station,1,4,0.000548621588259498,0.020638242497325716,0.003606333083278309,5,"110,123,301,315,507",4435
St. Andrew Station,station,1,3,0.0004114661911946235,0.041105974946742944,0.0033080766078451233,2,"304,504",15641
Etobicoke North GO Station,station,2,6,0.000822932382389247,0.03180312979283324,0.0026076251680251144,2,"45,945","4285,4286"
Millwood Rd at Village Station,station,2,6,0.000822932382389247,0.0438496914896734,0.0023665540531078314,2,"156,51","7982,5752"
Opposite 1042 Sheppard Ave West- Sheppard West Station,station,2,3,0.0004114661911946235,0.04796771580247709,0.000980630115308034,3,"104,384,84","13151,11876"
Sheppard Station,station,3,5,0.0006857769853243725,0.04977880239349979,0.0007822178229492645,3,"320,384,97","9050,9048,8983"
Victoria Park Ave at Victoria Park Station,station,2,4,0.000548621588259498,0.04382645804665202,0.0005885370685485241,2,"24,324","11376,14963"
Leslie St at Opposite Oriole GO Station,station,1,2,0.000274310794129749,0.04252376186706174,0.0004175267702515905,1,51,5447
Downsview Park Trail at Downsview Park Station,station,1,3,0.0004114661911946235,0.046366337371371844,0.00031742147415611587,1,101,16345
Highway 407 Station,station,1,2,0.000274310794129749,0.04284489521339612,0.00027408502392881913,1,1,15661
Scarborough GO Station,station,2,4,0.000548621588259498,0.03968836523518732,0.00023666476194058269,2,"102,9","6115,1566"
Walkway to Oriole GO Station,station,1,2,0.000274310794129749,0.03274023253058254,0.00018786506993118368,1,115,7456
Viscount Station,station,1,2,0.000274310794129749,0.034020082713726245,4.4559968091601036e-05,1,906,16760
St. Clair Station,station,1,2,0.000274310794129749,0.04886878105132121,2.833735104706795e-05,1,320,4733
Vaughan Metropolitan Centre Station,station,1,1,0.0001371553970648745,0.041083470321004505,0.0,1,1,15662
Guildwood Station,station,1,1,0.0001371553970648745,0.036186949727040986,0.0,1,406,16714
