stop_id,graph_degree,Degree,Closeness,Betweenness,in_largest_component,stop_name,stop_lat,stop_lon,station_cluster,is_station,route_count,routes_serving,is_major_hub_cluster,max_pax_per_vehicle_hour_2024_serving_route
2380,4,0.0004965859714463067,0.046558636580455816,0.0006148019204967666,True,Eglinton Ave West at Marlee Ave,43.698127,-79.439204,,False,4,"334,34,363,90",False,61.1
2389,7,0.0008690254500310367,0.04654812788588245,0.00016666704524544748,True,Eglinton Ave West at Oakwood Ave,43.697418,-79.442561,Oakwood Station,False,2,"334,34",False,51.4
2358,2,0.00024829298572315333,0.04457069335443043,4.489213412329906e-05,True,Eglinton Ave West at Glenholme Ave,43.696854,-79.445081,,False,2,"334,34",False,51.4
2378,2,0.00024829298572315333,0.0438396877276945,2.2839704543351997e-05,True,Eglinton Ave West at Jimmy Wisdom Way,43.696414,-79.447136,,False,2,"334,34",False,51.4
2341,8,0.0009931719428926133,0.045833786196155406,0.00031165562008911545,True,Eglinton Ave West at Dufferin St,43.695788,-79.450072,Fairbank Station,False,2,"334,34",False,51.4
2350,2,0.00024829298572315333,0.04382535509946243,8.546701002002714e-05,True,Eglinton Ave West at Ennerdale Rd,43.695064,-79.453323,,False,2,"334,34",False,51.4
2337,2,0.00024829298572315333,0.042485220081419355,1.2357065995009876e-06,True,Eglinton Ave West at Ronald Ave,43.694247,-79.456973,,False,2,"334,34",False,51.4
2335,2,0.00024829298572315333,0.04295260673673449,3.993060370636731e-05,True,Eglinton Ave West at Caledonia Rd,43.693177,-79.46177,,False,2,"334,34",False,51.4
16330,7,0.0008690254500310367,0.04487983209424449,0.00024218713140366976,True,Eglinton Ave West at Blackthorn Ave West Side,43.691944,-79.465697,Caledonia Station,False,2,"334,34",False,51.4
2409,2,0.00024829298572315333,0.04367020930671609,6.2673066708328705e-06,True,Eglinton Ave West at Richardson Ave,43.691058,-79.471319,,False,2,"334,34",False,51.4
2414,10,0.0012414649286157666,0.044322377025303596,0.00011153159611130776,True,Eglinton Ave West at Trethewey Dr/Keele St,43.690375,-79.474368,Keelesdale Station,False,2,"334,34",False,51.4
11940,2,0.00024829298572315333,0.0375778115329839,1.74991899450297e-05,True,Ian MacDonald Blvd at The Chimneystack Rd,43.776417,-79.500781,,False,4,"335,341,353,41",False,65.6
12193,3,0.00037243947858473,0.03651811134441669,5.794222332588362e-07,True,The Pond Rd at Ian MacDonald Blvd West Side,43.77063,-79.499806,,False,3,"335,341,41",False,65.6
1602,15,0.00186219739292365,0.04098137404093418,0.00739564071656069,True,Steeles Ave West at Northwest Gate,43.777918,-79.510766,Pioneer Village Station,False,5,"335,35,60,935,960",True,81.0
1593,3,0.00037243947858473,0.039746608564436826,0.002025697078551552,True,Steeles Ave West at Murray Ross Pkwy,43.776613,-79.516784,,False,4,"335,35,60,960",False,81.0
1173,4,0.0004965859714463067,0.0401229401986129,0.005424184861410091,True,Jane St at Steeles Ave West South Side,43.774891,-79.521862,,False,3,"335,35,935",False,53.2
3904,3,0.00037243947858473,0.038577226207719965,0.0007528998605102548,True,Jane St at Hullmar Dr,43.773357,-79.521585,,False,2,"335,35",False,50.8
3861,2,0.00024829298572315333,0.037891871692878346,0.00010365148370669909,True,4800 Jane St,43.77108,-79.521004,,False,1,335,False,
3923,4,0.0004965859714463067,0.03938247678708964,0.004908520914581513,True,Jane St at Shoreham Dr,43.76892,-79.520536,,False,2,"335,935",False,53.2
3911,2,0.00024829298572315333,0.037891871692878346,0.00021416852966615391,True,Jane St at Milo Park Gate,43.765957,-79.519824,,False,1,335,False,
3858,2,0.00024829298572315333,0.03651032015975807,0.00010987384156217731,True,Opposite 4355-4363 Jane St,43.763886,-79.519352,,False,1,335,False,
16759,3,0.00037243947858473,0.03608524633011832,0.0005509587499537685,True,Jane St at York Gate Blvd,43.761601,-79.518819,,False,2,"335,35",False,50.8
9146,2,0.00024829298572315333,0.037433872768996145,0.0005652468155184849,True,4148 Jane St,43.75959,-79.518409,,False,2,"335,35",False,50.8
3891,9,0.00111731843575419,0.03888759431444513,0.009633054060891976,True,Jane St at Finch Ave West South Side,43.756377,-79.517646,Jane and Finch Station,False,4,"335,35,935,99",False,53.2
3892,2,0.00024829298572315333,0.03743160797718522,0.00010087859330471697,True,Jane St at Firgrove Cres (North) South Side,43.754548,-79.517122,,False,3,"335,35,99",False,50.8
