display_name,entity_type,Degree,Closeness,Betweenness,route_count,platform_stop_count
Eglinton Ave East at Kennedy Station,station,0.0006857769853243725,0.042160468795796664,0.012133600748799338,5,4
Aberfoyle Cres at Islington Ave (Islington Station,station,0.000548621588259498,0.037633155504054876,0.010491024839079734,3,1
Hakimi Lebovic Station,station,0.000274310794129749,0.04374007714205026,0.009807534093998942,3,4
Eglinton GO Station,station,0.001371553970648745,0.040526272952777616,0.008751142213894487,6,4
Mimico GO Station,station,0.000548621588259498,0.027365606120486385,0.006396361504537034,2,5
Centennial GO Station,station,0.000274310794129749,0.018532628600657117,0.004922016150471323,1,1
Rouge Hill GO Station,station,0.0009600877794541215,0.024467490218705715,0.004864406483238844,7,4
Midland Ave at Midland Station,station,0.000548621588259498,0.02670841627379243,0.00436551919148956,1,2
Long Branch GO Station,station,0.000548621588259498,0.020638242497325716,0.003606333083278309,5,1
St. Andrew Station,station,0.0004114661911946235,0.041105974946742944,0.0033080766078451233,2,1
Etobicoke North GO Station,station,0.000822932382389247,0.03180312979283324,0.0026076251680251144,2,2
Millwood Rd at Village Station,station,0.000822932382389247,0.0438496914896734,0.0023665540531078314,2,2
Opposite 1042 Sheppard Ave West- Sheppard West Station,station,0.0004114661911946235,0.04796771580247709,0.000980630115308034,3,2
Sheppard Station,station,0.0006857769853243725,0.04977880239349979,0.0007822178229492645,3,3
Victoria Park Ave at Victoria Park Station,station,0.000548621588259498,0.04382645804665202,0.0005885370685485241,2,2
Leslie St at Opposite Oriole GO Station,station,0.000274310794129749,0.04252376186706174,0.0004175267702515905,1,1
Downsview Park Trail at Downsview Park Station,station,0.0004114661911946235,0.046366337371371844,0.00031742147415611587,1,1
Highway 407 Station,station,0.000274310794129749,0.04284489521339612,0.00027408502392881913,1,1
Scarborough GO Station,station,0.000548621588259498,0.03968836523518732,0.00023666476194058269,2,2
Walkway to Oriole GO Station,station,0.000274310794129749,0.03274023253058254,0.00018786506993118368,1,1
Viscount Station,station,0.000274310794129749,0.034020082713726245,4.4559968091601036e-05,1,1
St. Clair Station,station,0.000274310794129749,0.04886878105132121,2.833735104706795e-05,1,1
Vaughan Metropolitan Centre Station,station,0.0001371553970648745,0.041083470321004505,0.0,1,1
Guildwood Station,station,0.0001371553970648745,0.036186949727040986,0.0,1,1
Van Horne Ave at Victoria Park Ave,street_stop,0.00012414649286157667,0.03389196744077966,0.0,1,1
Victoria Park Ave at Pleasant View Dr,street_stop,0.0004965859714463067,0.0350816935392395,0.002590917951444921,2,1
140 Pleasant View Dr,street_stop,0.00024829298572315333,0.033896681006716715,0.002343587432448149,1,1
Pleasant View Dr at Brian Dr,street_stop,0.00024829298572315333,0.03278937625319003,0.0022205843697877727,1,1
Brian Ave at Margaret Ave,street_stop,0.00024829298572315333,0.03175877272637932,0.00013161717145597387,1,1
Brian Ave at Van Horne Ave,street_stop,0.00024829298572315333,0.030827093444306758,0.00010158607005733821,1,1
Van Horne Ave at Lucifer Dr,street_stop,0.00024829298572315333,0.031209516391578686,0.00013207752401335682,1,1
Van Horne Ave at Edmonton Dr,street_stop,0.00024829298572315333,0.031645313282815786,0.00019716989653060978,1,1
Van Horne Ave at Kingslake Rd,street_stop,0.00024829298572315333,0.03232173214036916,0.00028474385169830824,1,1
Van Horne Ave at Houston Cres (West) West Side,street_stop,0.00024829298572315333,0.033245721705288986,0.0003988374596871761,1,1
Van Horne Ave at Hobart Dr,street_stop,0.00024829298572315333,0.03438224619125351,0.0005213244125978202,1,1
Don Mills Rd at Van Horne Ave South Side,street_stop,0.00037243947858473,0.035603008610911265,0.0010115405393984606,3,1
Don Mills Rd at Walkway to O'Shea Crescent,street_stop,0.00024829298572315333,0.036828123929218165,0.001074895630627902,3,1
Don Mills Rd at Goodview Rd,street_stop,0.00024829298572315333,0.03822103115121009,0.0011962514786537303,3,1
2980 Don Mills Rd,street_stop,0.00024829298572315333,0.03973404177073398,0.0013193207609979096,3,1
Don Mills Rd at Esterbrooke Ave,street_stop,0.0004965859714463067,0.04137220286037336,0.0014426549220772922,3,1
Concorde Pl at Concorde Pl Cul De Sac,street_stop,0.00024829298572315333,0.03792027679605542,8.294048572270773e-08,1,1
Concorde Pl at Concorde Gate South Side,street_stop,0.00024829298572315333,0.03791991923468915,1.6637695555003727e-06,1,1
Concorde Pl at McDonald's Pl,street_stop,0.00037243947858473,0.03941432042689632,0.0001831711951652354,1,1
