Page,Metric,Route,Year,Value,Recovery_Rate_pct
2,Vehicle Hours,32 EGLINTON WEST,2021,584,86
2,Vehicle Hours,32 EGLINTON WEST,2022,569,84
2,Vehicle Hours,32 EGLINTON WEST,2023,546,80
2,Vehicle Hours,32 EGLINTON WEST,2024,570,84
2,Vehicle Hours,33 FOREST HILL,2019,19,
2,Vehicle Hours,33 FOREST HILL,2020,19,100
2,Vehicle Hours,33 FOREST HILL,2021,19,100
2,Vehicle Hours,33 FOREST HILL,2022,32,168
2,Vehicle Hours,33 FOREST HILL,2023,28,147
2,Vehicle Hours,33 FOREST HILL,2024,27,142
2,Vehicle Hours,34 EGLINTON EAST,2019,480,
2,Vehicle Hours,34 EGLINTON EAST,2020,515,107
2,Vehicle Hours,34 EGLINTON EAST,2021,370,77
2,Vehicle Hours,34 EGLINTON EAST,2022,371,77
2,Vehicle Hours,34 EGLINTON EAST,2023,370,77
2,Vehicle Hours,34 EGLINTON EAST,2024,386,80
2,Vehicle Hours,35 JANE,2019,395,
2,Vehicle Hours,35 JANE,2020,395,100
2,Vehicle Hours,35 JANE,2021,414,105
2,Vehicle Hours,35 JANE,2022,418,106
2,Vehicle Hours,35 JANE,2023,395,100
2,Vehicle Hours,35 JANE,2024,508,129
2,Vehicle Hours,36 FINCH WEST,2019,634,
2,Vehicle Hours,36 FINCH WEST,2020,560,88
2,Vehicle Hours,36 FINCH WEST,2021,715,113
2,Vehicle Hours,36 FINCH WEST,2022,715,113
2,Vehicle Hours,36 FINCH WEST,2023,676,107
2,Vehicle Hours,36 FINCH WEST,2024,659,104
2,Vehicle Hours,37 ISLINGTON,2019,209,
2,Vehicle Hours,37 ISLINGTON,2020,199,95
2,Vehicle Hours,37 ISLINGTON,2021,182,87
2,Vehicle Hours,37 ISLINGTON,2022,202,97
2,Vehicle Hours,37 ISLINGTON,2023,218,104
2,Vehicle Hours,37 ISLINGTON,2024,246,118
2,Vehicle Hours,38 HIGHLAND CREEK,2019,165,
2,Vehicle Hours,38 HIGHLAND CREEK,2020,121,73
2,Vehicle Hours,38 HIGHLAND CREEK,2021,119,72
2,Vehicle Hours,38 HIGHLAND CREEK,2022,154,93
2,Vehicle Hours,38 HIGHLAND CREEK,2023,284,172
2,Vehicle Hours,38 HIGHLAND CREEK,2024,225,136
2,Vehicle Hours,39 FINCH EAST,2019,384,
2,Vehicle Hours,39 FINCH EAST,2020,589,153
2,Vehicle Hours,39 FINCH EAST,2021,385,100
2,Vehicle Hours,39 FINCH EAST,2022,367,96
2,Vehicle Hours,39 FINCH EAST,2023,329,86
2,Vehicle Hours,39 FINCH EAST,2024,331,86
2,Vehicle Hours,40 JUNCTION-DUNDAS WEST,2019,118,
2,Vehicle Hours,40 JUNCTION-DUNDAS WEST,2020,95,81
2,Vehicle Hours,40 JUNCTION-DUNDAS WEST,2021,113,96
2,Vehicle Hours,40 JUNCTION-DUNDAS WEST,2022,113,96
2,Vehicle Hours,40 JUNCTION-DUNDAS WEST,2023,159,135
2,Vehicle Hours,40 JUNCTION-DUNDAS WEST,2024,96,81
2,Vehicle Hours,41 KEELE,2019,235,
2,Vehicle Hours,41 KEELE,2020,234,100
2,Vehicle Hours,41 KEELE,2021,247,105
2,Vehicle Hours,41 KEELE,2022,353,150
2,Vehicle Hours,41 KEELE,2023,305,130
2,Vehicle Hours,41 KEELE,2024,341,145
2,Vehicle Hours,42 CUMMER,2019,197,
2,Vehicle Hours,42 CUMMER,2020,156,79
2,Vehicle Hours,42 CUMMER,2021,152,77
2,Vehicle Hours,42 CUMMER,2022,193,98
2,Vehicle Hours,42 CUMMER,2023,186,94
2,Vehicle Hours,42 CUMMER,2024,181,92
2,Vehicle Hours,43 KENNEDY,2019,274,
2,Vehicle Hours,43 KENNEDY,2020,302,110
2,Vehicle Hours,43 KENNEDY,2021,275,100
2,Vehicle Hours,43 KENNEDY,2022,274,100
2,Vehicle Hours,43 KENNEDY,2023,259,95
2,Vehicle Hours,43 KENNEDY,2024,263,96
2,Vehicle Hours,44 KIPLING SOUTH,2019,114,
2,Vehicle Hours,44 KIPLING SOUTH,2020,111,97
2,Vehicle Hours,44 KIPLING SOUTH,2021,100,88
2,Vehicle Hours,44 KIPLING SOUTH,2022,113,99
2,Vehicle Hours,44 KIPLING SOUTH,2023,112,98
2,Vehicle Hours,44 KIPLING SOUTH,2024,140,123
2,Vehicle Hours,45 KIPLING,2019,244,
2,Vehicle Hours,45 KIPLING,2020,238,98
2,Vehicle Hours,45 KIPLING,2021,201,82
2,Vehicle Hours,45 KIPLING,2022,215,88
2,Vehicle Hours,45 KIPLING,2023,221,91
2,Vehicle Hours,45 KIPLING,2024,255,105
2,Vehicle Hours,46 MARTINGROVE,2019,150,
2,Vehicle Hours,46 MARTINGROVE,2020,150,100
2,Vehicle Hours,46 MARTINGROVE,2021,129,86
